invoice_ref,line_date,line_amount
113105,2024-05-07,91.40
113019,2024-05-07,470.45
113019,2024-05-07,470.45
113105,2024-05-07,91.40
113694,2024-05-08,22.70
113595,2024-05-08,235.92
113694,2024-05-08,22.70
113595,2024-05-08,235.92
114311,2024-05-09,98.36
114311,2024-05-09,98.36
114463,2024-05-10,130.06
114725,2024-05-10,428.53
114725,2024-05-10,428.53
114463,2024-05-10,130.06
115614,2024-05-11,305.05
115179,2024-05-11,448.39
115614,2024-05-11,305.05
115179,2024-05-11,448.39
116316,2024-05-13,104.54
116148,2024-05-13,422.79
116316,2024-05-13,104.54
116148,2024-05-13,422.79
116788,2024-05-14,39.78
116788,2024-05-14,39.78
117244,2024-05-15,145.75
117244,2024-05-15,145.75
117632,2024-05-16,235.78
117634,2024-05-16,140.14
117808,2024-05-16,140.28
117634,2024-05-16,140.14
117632,2024-05-16,235.78
117808,2024-05-16,140.28
118481,2024-05-17,143.18
118491,2024-05-17,216.97
118491,2024-05-17,216.97
118481,2024-05-17,143.18
119637,2024-05-18,26.24
119637,2024-05-18,26.24
120098,2024-05-20,283.32
119912,2024-05-20,611.05
119912,2024-05-20,611.05
120098,2024-05-20,283.32
120377,2024-05-21,72.14
120377,2024-05-21,72.14
120645,2024-05-21,251.20
120645,2024-05-21,251.20
121343,2024-05-22,108.76
121343,2024-05-22,108.76
120871,2024-05-22,272.60
120871,2024-05-22,272.60
121755,2024-05-23,296.81
121755,2024-05-23,296.81
122766,2024-05-24,460.32
122766,2024-05-24,460.32
123442,2024-05-25,897.73
123442,2024-05-25,897.73
123107,2024-05-25,78.90
123107,2024-05-25,78.90
124893,2024-05-28,269.00
124893,2024-05-28,269.00
124871,2024-05-28,715.60
124699,2024-05-28,290.30
124871,2024-05-28,715.60
124699,2024-05-28,290.30
125674,2024-05-29,160.26
125674,2024-05-29,160.26
126288,2024-05-30,200.40
126205,2024-05-30,380.88
126205,2024-05-30,380.88
126288,2024-05-30,200.40
127398,2024-05-31,280.33
127398,2024-05-31,280.33
128148,2024-06-01,1261.07
128148,2024-06-01,1261.07
128148,2024-06-01,1261.07
127928,2024-06-01,292.71
127928,2024-06-01,292.71
127928,2024-06-01,292.71
128148,2024-06-01,1261.07
128912,2024-06-03,530.10
128912,2024-06-03,530.10
128912,2024-06-03,530.10
128941,2024-06-03,216.18
128941,2024-06-03,216.18
128941,2024-06-03,216.18
128912,2024-06-03,530.10
129623,2024-06-04,39.50
129623,2024-06-04,39.50
129623,2024-06-04,39.50
137089,2024-06-17,710.18
137089,2024-06-17,710.18
137090,2024-06-17,130.50
137090,2024-06-17,130.50
137089,2024-06-17,710.18
137089,2024-06-17,710.18
137090,2024-06-17,130.50
137699,2024-06-18,236.87
137699,2024-06-18,236.87
137699,2024-06-18,236.87
138116,2024-06-19,713.17
138367,2024-06-19,51.00
138367,2024-06-19,51.00
138367,2024-06-19,51.00
138116,2024-06-19,713.17
138116,2024-06-19,713.17
138116,2024-06-19,713.17
139063,2024-06-20,133.65
139063,2024-06-20,133.65
139063,2024-06-20,133.65
141387,2024-06-24,1057.44
141387,2024-06-24,1057.44
141387,2024-06-24,1057.44
141387,2024-06-24,1057.44
141953,2024-06-25,200.06
141953,2024-06-25,200.06
141953,2024-06-25,200.06
141953,2024-06-25,200.06
142481,2024-06-26,67.88
142481,2024-06-26,67.88
142481,2024-06-26,67.88
142178,2024-06-26,120.60
142178,2024-06-26,120.60
142178,2024-06-26,120.60
142481,2024-06-26,67.88
143416,2024-06-27,278.23
143416,2024-06-27,278.23
143416,2024-06-27,278.23
143332,2024-06-27,653.14
143332,2024-06-27,653.14
143332,2024-06-27,653.14
143332,2024-06-27,653.14
144084,2024-06-28,387.18
144038,2024-06-28,130.80
144084,2024-06-28,387.18
144084,2024-06-28,387.18
144038,2024-06-28,130.80
144038,2024-06-28,130.80
144084,2024-06-28,387.18
144973,2024-06-29,101.00
144866,2024-06-29,395.84
144973,2024-06-29,101.00
144973,2024-06-29,101.00
144866,2024-06-29,395.84
144866,2024-06-29,395.84
144866,2024-06-29,395.84
145428,2024-07-01,775.61
145428,2024-07-01,775.61
145428,2024-07-01,775.61
145428,2024-07-01,775.61
146326,2024-07-02,232.74
146264,2024-07-02,518.94
145772,2024-07-02,48.91
146326,2024-07-02,232.74
146264,2024-07-02,518.94
146264,2024-07-02,518.94
145772,2024-07-02,48.91
146326,2024-07-02,232.74
145772,2024-07-02,48.91
146264,2024-07-02,518.94
146679,2024-07-03,103.46
146956,2024-07-03,159.03
146464,2024-07-03,13.70
146679,2024-07-03,103.46
146464,2024-07-03,13.70
146679,2024-07-03,103.46
146956,2024-07-03,159.03
146679,2024-07-03,103.46
146464,2024-07-03,13.70
146464,2024-07-03,13.70
146956,2024-07-03,159.03
147342,2024-07-04,196.80
147342,2024-07-04,196.80
147342,2024-07-04,196.80
147342,2024-07-04,196.80
154004,2024-07-15,1446.12
154004,2024-07-15,1446.12
154004,2024-07-15,1446.12
160755,2024-07-25,280.36
160665,2024-07-25,500.43
160665,2024-07-25,500.43
160755,2024-07-25,280.36
161531,2024-07-26,114.39
161531,2024-07-26,114.39
162441,2024-07-27,662.87
162481,2024-07-27,73.82
162481,2024-07-27,73.82
162441,2024-07-27,662.87
163168,2024-07-29,1841.97
163416,2024-07-29,179.81
163416,2024-07-29,179.81
163168,2024-07-29,1841.97
164341,2024-07-30,749.02
164037,2024-07-30,137.17
164341,2024-07-30,749.02
164037,2024-07-30,137.17
165068,2024-07-31,777.61
165187,2024-07-31,230.85
165068,2024-07-31,777.61
165187,2024-07-31,230.85
165994,2024-08-01,760.81
165994,2024-08-01,760.81
166199,2024-08-01,114.62
166199,2024-08-01,114.62
166199,2024-08-01,114.62
165994,2024-08-01,760.81
165994,2024-08-01,760.81
166371,2024-08-02,6.48
166371,2024-08-02,6.48
166371,2024-08-02,6.48
168279,2024-08-03,250.79
168279,2024-08-03,250.79
168087,2024-08-03,955.35
168087,2024-08-03,955.35
168087,2024-08-03,955.35
168279,2024-08-03,250.79
168087,2024-08-03,955.35
169023,2024-08-05,1480.18
169023,2024-08-05,1480.18
169023,2024-08-05,1480.18
169023,2024-08-05,1480.18
169921,2024-08-06,257.39
169874,2024-08-06,505.23
169874,2024-08-06,505.23
169921,2024-08-06,257.39
169874,2024-08-06,505.23
169874,2024-08-06,505.23
169921,2024-08-06,257.39
178502,2024-08-17,1190.31
178502,2024-08-17,1190.31
178502,2024-08-17,1190.31
179243,2024-08-19,1696.12
179243,2024-08-19,1696.12
179243,2024-08-19,1696.12
183136,2024-08-24,161.19
183620,2024-08-24,1156.80
183620,2024-08-24,1156.80
184397,2024-08-26,1450.45
184397,2024-08-26,1450.45
184516,2024-08-26,175.57
185250,2024-08-27,1128.01
185290,2024-08-27,273.60
185250,2024-08-27,1128.01
186770,2024-08-29,1205.80
186978,2024-08-29,106.10
186770,2024-08-29,1205.80
187148,2024-08-30,386.17
187695,2024-08-30,461.40
187695,2024-08-30,461.40
188601,2024-08-31,1126.85
188601,2024-08-31,1126.85
189205,2024-09-02,684.33
205006,2024-10-01,114.64
211646,2024-10-15,35.63
212649,2024-10-17,55.30
213203,2024-10-18,169.06
212869,2024-10-18,280.19
215887,2024-10-24,204.18
215497,2024-10-24,418.04
217195,2024-10-26,59.59
217687,2024-10-28,213.09
217446,2024-10-28,738.55
218369,2024-10-29,47.53
264331,2025-02-21,148.58
264865,2025-02-22,81.04
267881,2025-03-01,121.21
278001,2025-03-22,91.93
278504,2025-03-24,102.89
279763,2025-03-26,266.89
280327,2025-03-27,179.20
281072,2025-03-28,74.34
280681,2025-03-28,532.79
282166,2025-03-31,251.95
282730,2025-04-01,198.58
282465,2025-04-01,203.70
289548,2025-04-10,11.47
295832,2025-04-21,1584.77
296082,2025-04-21,163.49
296364,2025-04-22,61.16
296655,2025-04-22,333.43
296827,2025-04-22,60.41
296761,2025-04-22,63.57
297491,2025-04-23,37.27
297995,2025-04-24,81.55
298811,2025-04-25,291.41
298719,2025-04-25,28.78
299295,2025-04-26,449.54
299682,2025-04-26,32.45
300275,2025-04-28,255.43
300941,2025-04-29,120.30
300813,2025-04-29,260.52
301409,2025-04-30,7.67
314955,2025-05-21,130.08
314955,2025-05-21,130.08
315527,2025-05-22,151.35
315674,2025-05-22,73.61
315527,2025-05-22,151.35
315674,2025-05-22,73.61
316580,2025-05-23,109.13
316580,2025-05-23,109.13
317403,2025-05-24,126.65
317403,2025-05-24,126.65
317294,2025-05-24,530.15
317294,2025-05-24,530.15
318011,2025-05-26,1267.14
318283,2025-05-26,39.47
318283,2025-05-26,39.47
318011,2025-05-26,1267.14
319094,2025-05-27,77.50
318900,2025-05-27,402.96
318900,2025-05-27,402.96
319094,2025-05-27,77.50
319259,2025-05-28,157.77
319259,2025-05-28,157.77
320440,2025-05-29,831.65
320642,2025-05-29,136.62
320642,2025-05-29,136.62
320440,2025-05-29,831.65
321457,2025-05-30,560.31
321744,2025-05-30,161.31
321744,2025-05-30,161.31
321457,2025-05-30,560.31
